,product name,price
0,FreePods 3C ENC True Wireless Earbuds,₵ 325.00
1,SpacePods x Burna Boy ANC True Wireless Earbuds,₵ 459.00
2,BoomPop 2 ENC Over-Ear Wireless Headphones,₵ 225.00
3,Watch ES 2 1.95″ AMOLED IP68 Smart Watch,₵ 485.00
4,"Watch Nova V 2.01"" HD Video Watch Faces Smart Watch",₵ 520.00
5,FreePods Neo ENC True Wireless Earbuds,₵ 240.00
6,"Watch Nova AM 2.01"" AMOLED Screen Curved Cover Smart Watch",₵ 555.00
7,Riff 2 Half in-Ear True Wireless Earbuds,₵ 235.00
8,Hotspot Elf 2 150Mbps 4G Mobile Hotspot,₵ 425.00
9,FreePods Lite ENC True Wireless Earbuds,₵ 210.00
10,PowerBox 600 60000mAh 22.5W Power Bank,₵ 625.00
11,Boom 30W Wireless Speaker,₵ 720.00
12,Watch 4 Plus 2.01″ HD IP68 Smart Watch,₵ 405.00
13,PowerBox 500 50000mAh 22.5W Power Bank,₵ 489.00
14,Necklace Lite Call Vibration Wireless Headphones,₵ 175.00
15,Rover 12W FM Wireless Speaker,₵ 430.00
16,Smart Clipper 2 Professional Hair Clipper,₵ 260.00
17,Watch 3 Pro 1.83'' LCD IP68 Smart Watch,₵ 455.00
18,FreePods Pro+ Hybrid ANC True Wireless Earbuds,₵ 669.00
19,Wrap 5W FM IP67 Wireless Speaker,₵ 299.00
20,Watch 2 1.69″ LCD IP67 Smart Watch,₵ 299.00
21,Watch ER 1.43'' AMOLED IP68 Smart Watch,₵ 575.00
22,UltraCleaner S Stick Vacuum Cleaner,"₵ 1,050.00"
23,Rhyme ANC True Wireless Earbuds,₵ 225.00
24,Shark 4 Wireless Headphones,₵ 150.00
25,Smart Kettle 1.7L Full Metal Liner Kettle,₵ 330.00
26,OpenPods Open-ear Wireless Earphones,₵ 650.00
27,SmartDent C2 Smart Electric Toothbrush,₵ 140.00
28,Necklace 4 ENC Wireless Headphones,₵ 310.00
29,Smart Clipper 2 Gold Professional Hair Clipper,₵ 299.00
30,AirBuds 4 ENC True Wireless Earbuds,₵ 219.00
31,FreePods 4 ANC True Wireless Earbuds,₵ 420.00
32,AirBuds 3 IP67 True Wireless Earbuds,₵ 265.00
33,BoomPop2S ENC Over-Ear Wireless Headphones,₵ 360.00
34,Tilt 16W Wireless Speaker,₵ 490.00
35,Necklace Pro ANC Wireless Headphones,₵ 520.00
36,PowerBox 300 Lite 30000mAh 15W Power Bank,₵ 390.00
37,FreePods 4 ANC True Wireless Earbuds-Nebula Blue,₵ 420.00
38,Smart Trimmer Powerful & Durable Trimmer,₵ 110.00
39,"watch R 1.32"" Waterproof Smart Watch",₵ 220.00
40,"Watch 2R 1.39"" TFT IP68 Smart Watch",₵ 415.00
41,Watch 3 Lite 1.69” TFT IP68 Smart Watch,₵ 215.00
42,FreePods Pro ANC True Wireless Earbuds,₵ 645.00
43,Watch Pro 1.69″ 24 Modes Smart Watch,₵ 259.00
44,Traveler 3 Lit 27000mAh 15W Power Bank,₵ 360.00
45,"Watch 2R 1.39"" TFT IP68 Smart Watch",₵ 415.00
46,Slice Link Pro 10000mAh 22.5W Power Bank,₵ 235.00
47,Pilot 15 Flash 20000mAh 15W Power Bank,₵ 265.00
48,Traveler 22.5 PD 20000mAh 22.5W Power Bank,₵ 300.00
49,Smart Cleaner H Mini Handheld Vacuum,₵ 335.00
50,Smart Clipper 2 Prestige Self-Sharpening Hair Clipper,₵ 235.00
51,Smart Scale Weight Scale,₵ 250.00
52,Traveler Link 27 27000mAh 12W Power Bank,₵ 370.00
53,Slice Link 10000mAh 12W Power Bank,₵ 210.00
54,Traveler Link 20 20000mAh 12W Power Bank,₵ 310.00
55,Toast 15 Flash 10000mAh Fast Charging Power Bank,₵ 178.00
56,Backpack 2 Durable Large Backpack,₵ 290.00
57,Smart Barberkit Super Powerful Motor Barber Kit,₵ 755.00
58,Smart Shaver 7D 7 Razor Heads 360° Shaver,₵ 345.00
59,Cannon 18D oraimo Cannon 18D 18W Wall Charger Kit,₵ 72.00
60,SoundFlow 50W Wireless Speaker,₵ 669.00
61,Smart Office Slim Wireless Keyboard Mouse Kit,₵ 299.00
62,Smart Clipper Adjustable Hair Clipper,₵ 99.00
63,SmartDent Electric Toothbrush,₵ 189.00
64,Watch 2 Fit 1.57'' LCD Fit Smart Watch,₵ 220.00
65,Smart Bulb 9W Light Bulbs,₵ 140.00
66,Traveler 4 20000mAh 10.5W Power Bank,₵ 259.00
67,Open Circlet Open-ear Headphones,₵ 699.00
68,Smart Gimbal Samrt Gimbal Stabilizer,₵ 235.00
69,Hyper Type Wired Mechanical Keyboard,₵ 335.00
70,Smart Grooming Kit All-in-one Grooming Kit,₵ 225.00
71,Smart Shaver 3D Rotary Electric Shaver,₵ 115.00
72,Smart Trimmer 2 Precision Durable Precision Dial Trimmer,₵ 245.00
73,Conch 2 In-Ear Wired Headphones,₵ 30.00
74,Halo Airy Type-C Half In-ear Wired Headphones,₵ 55.00
75,Cannon 3 5W Wall Charger,₵ 35.00
76,Smart Office Wireless Keyboard Mouse Kit,₵ 255.00
77,Toast 10 Flash 10000mAh 12W Power Bank,₵ 200.00
78,Smart Straightener Hair Straightener,₵ 240.00
79,Watch Strap 51 Stainless Steel Watch Straps,₵ 65.00
80,Smart Clipper Pro Professional Hair Clipper,₵ 479.00
81,SmartTrimmer 2 Classy 20-Length Adjustable Trimmer,₵ 195.00
82,Firefly 3 10W Wall Charger Kit,₵ 50.00
83,Highway 10.5W Car Charger Kit,₵ 60.00
84,SmartHandwasher 300mL Liquid Hand Soap Dispenser for Kitchen and Bathroom,₵ 220.00
85,Smart Hair Dryer 1800W Negative Ion Hair Dryer,₵ 315.00
86,Shark 2 Sport Wireless Headphone,₵ 120.00
87,Smart Mirror Natural Daylight Makeup Mirror,₵ 250.00
88,Smart Shaver 2 IPX7 Smoothness Shaver,₵ 239.00
89,Braid 1.5M 2.1A Cable Micro-USB,₵ 40.00
90,Elite 3 230hrs Long Standby Wireless Bluetooth Earpiece,₵ 145.00
91,Smart Plug wifi-connected plug,₵ 170.00
92,Smart Shaver 2 Magnet 3D Dual Ultra-thin Shaver,₵ 199.00
93,Smart Clipper Plus Cordless Hair Clipper,₵ 185.00
